name,type,value,date
2019,异常生物见闻录,68,第33001
2019,徒然喜欢你,68,第33001
2019,Fate/Grand Order-turas realta-,69,第32001
2018,乔乔福音（乔乔的奇妙冒险第8部）,69,第32001
2019,异常生物见闻录,69,第32001
2019,徒然喜欢你,69,第32001
2018,七人传奇,69,第32001
2018,乔乔福音（乔乔的奇妙冒险第8部）,70,第31001
2019,异常生物见闻录,70,第31001
2019,徒然喜欢你,70,第31001
2018,七人传奇,70,第31001
2018,石之海（乔乔的奇妙冒险第6部）,70,第31001
2019,异常生物见闻录,71,第30001
2019,徒然喜欢你,71,第30001
2018,七人传奇,71,第30001
2018,石之海（乔乔的奇妙冒险第6部）,71,第30001
2018.7.2,战国千年,71,第30001
2019,徒然喜欢你,72,第29001
2018,七人传奇,72,第29001
2018,石之海（乔乔的奇妙冒险第6部）,72,第29001
2018.7.2,战国千年,72,第29001
2017-07-27,修真聊天群,72,第29001
2018,七人传奇,73,第28001
2018,石之海（乔乔的奇妙冒险第6部）,73,第28001
2018.7.2,战国千年,73,第28001
2017-07-27,修真聊天群,73,第28001
2013,我的青春恋爱物语果然有问题。,73,第28001
2018,石之海（乔乔的奇妙冒险第6部）,74,第27001
2018.7.2,战国千年,74,第27001
2017-07-27,修真聊天群,74,第27001
2013,我的青春恋爱物语果然有问题。,74,第27001
2018-06-15,少女前线-人形之歌,74,第27001
2018.7.2,战国千年,75,第26001
2017-07-27,修真聊天群,75,第26001
2013,我的青春恋爱物语果然有问题。,75,第26001
2018-06-15,少女前线-人形之歌,75,第26001
2015-06-20,崩坏3rd,75,第26001
2017-07-27,修真聊天群,76,第25001
2013,我的青春恋爱物语果然有问题。,76,第25001
2018-06-15,少女前线-人形之歌,76,第25001
2015-06-20,崩坏3rd,76,第25001
2015年,工作细胞,76,第25001
2013,我的青春恋爱物语果然有问题。,77,第24001
2018-06-15,少女前线-人形之歌,77,第24001
2015-06-20,崩坏3rd,77,第24001
2015年,工作细胞,77,第24001
2011,野良神,77,第24001
2018-06-15,少女前线-人形之歌,78,第23001
2015-06-20,崩坏3rd,78,第23001
2015年,工作细胞,78,第23001
2011,野良神,78,第23001
2018,齐木楠雄的灾难,78,第23001
2015-06-20,崩坏3rd,79,第22001
2015年,工作细胞,79,第22001
2011,野良神,79,第22001
2018,齐木楠雄的灾难,79,第22001
2018,我家大师兄脑子有坑,79,第22001
2015年,工作细胞,80,第21001
2011,野良神,80,第21001
2018,齐木楠雄的灾难,80,第21001
2018,我家大师兄脑子有坑,80,第21001
2014年,碧蓝之海,80,第21001
2011,野良神,81,第20001
2018,齐木楠雄的灾难,81,第20001
2018,我家大师兄脑子有坑,81,第20001
2014年,碧蓝之海,81,第20001
2017年,我们无法一起学习,81,第20001
2018,齐木楠雄的灾难,82,第19001
2018,我家大师兄脑子有坑,82,第19001
2014年,碧蓝之海,82,第19001
2017年,我们无法一起学习,82,第19001
2013年,干物妹！小埋,82,第19001
2018,我家大师兄脑子有坑,83,第18001
2014年,碧蓝之海,83,第18001
2017年,我们无法一起学习,83,第18001
2013年,干物妹！小埋,83,第18001
1991年,铳梦,83,第18001
2014年,碧蓝之海,84,第17001
2017年,我们无法一起学习,84,第17001
2013年,干物妹！小埋,84,第17001
1991年,铳梦,84,第17001
2016,鬼灭之刃,84,第17001
2017年,我们无法一起学习,85,第16001
2013年,干物妹！小埋,85,第16001
1991年,铳梦,85,第16001
2016,鬼灭之刃,85,第16001
2012,食戟之灵,85,第16001
2013年,干物妹！小埋,86,第15001
1991年,铳梦,86,第15001
2016,鬼灭之刃,86,第15001
2012,食戟之灵,86,第15001
2013-05-25,小林家的龙女仆,86,第15001
1991年,铳梦,87,第14001
2016,鬼灭之刃,87,第14001
2012,食戟之灵,87,第14001
2013-05-25,小林家的龙女仆,87,第14001
2018/11/15,步天歌,87,第14001
2016,鬼灭之刃,88,第13001
2012,食戟之灵,88,第13001
2013-05-25,小林家的龙女仆,88,第13001
2018/11/15,步天歌,88,第13001
2016-08-21,非人哉,88,第13001
2012,食戟之灵,89,第12001
2013-05-25,小林家的龙女仆,89,第12001
2018/11/15,步天歌,89,第12001
2016-08-21,非人哉,89,第12001
2018,灵能百分百,89,第12001
2013-05-25,小林家的龙女仆,90,第11001
2018/11/15,步天歌,90,第11001
2016-08-21,非人哉,90,第11001
2018,灵能百分百,90,第11001
1987,乔乔的奇妙冒险（1-5部),90,第11001
2018/11/15,步天歌,91,第10001
2016-08-21,非人哉,91,第10001
2018,灵能百分百,91,第10001
1987,乔乔的奇妙冒险（1-5部),91,第10001
2019年,一拳超人,91,第10001
2016-08-21,非人哉,92,第9001
2018,灵能百分百,92,第9001
1987,乔乔的奇妙冒险（1-5部),92,第9001
2019年,一拳超人,92,第9001
1997-07-01,航海王,92,第9001
2018,灵能百分百,93,第8001
1987,乔乔的奇妙冒险（1-5部),93,第8001
2019年,一拳超人,93,第8001
1997-07-01,航海王,93,第8001
2014,我的英雄学园,93,第8001
1987,乔乔的奇妙冒险（1-5部),94,第7001
2019年,一拳超人,94,第7001
1997-07-01,航海王,94,第7001
2014,我的英雄学园,94,第7001
2015年,关于我转生变成史莱姆这档事,94,第7001
2019年,一拳超人,95,第6001
1997-07-01,航海王,95,第6001
2014,我的英雄学园,95,第6001
2015年,关于我转生变成史莱姆这档事,95,第6001
2016,约定的梦幻岛,95,第6001
1997-07-01,航海王,96,第5001
2014,我的英雄学园,96,第5001
2015年,关于我转生变成史莱姆这档事,96,第5001
2016,约定的梦幻岛,96,第5001
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,96,第5001
2014,我的英雄学园,97,第4001
2015年,关于我转生变成史莱姆这档事,97,第4001
2016,约定的梦幻岛,97,第4001
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,97,第4001
2017年,五等分的新娘,97,第4001
2015年,关于我转生变成史莱姆这档事,98,第3001
2016,约定的梦幻岛,98,第3001
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,98,第3001
2017年,五等分的新娘,98,第3001
2019年1月23日,我在皇宫当巨巨,98,第3001
2016,约定的梦幻岛,99,第2001
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,99,第2001
2017年,五等分的新娘,99,第2001
2019年1月23日,我在皇宫当巨巨,99,第2001
2009,青之驱魔师,99,第2001
2015,辉夜大小姐想让我告白 ~天才们的恋爱头脑战~,100,第1001
2017年,五等分的新娘,100,第1001
2019年1月23日,我在皇宫当巨巨,100,第1001
2009,青之驱魔师,100,第1001
1996/7/1,游戏王,100,第1001
2017年,五等分的新娘,101,第1
2019年1月23日,我在皇宫当巨巨,101,第1
2009,青之驱魔师,101,第1
1996/7/1,游戏王,101,第1
2018,全职法师,101,第1
